,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,EOS-USD,62.23986471232516,15.0
1,AAVE-USD,MATIC-USD,69.19865400997766,8.0
2,ZEC-USD,CELO-USD,81.13351401885912,12.0
3,UMA-USD,ENJ-USD,6.157775634235584,6.0
4,UMA-USD,XTZ-USD,2.0117678474237377,11.0
5,UMA-USD,BTC-USD,9.380297324848358e-05,10.0
6,UMA-USD,LINK-USD,0.26824959289219774,6.0
7,UMA-USD,YFI-USD,0.00028955725470013335,7.0
8,UMA-USD,DOGE-USD,21.165173342546694,6.0
9,UMA-USD,EOS-USD,1.7878479318077583,7.0
10,UMA-USD,ZRX-USD,9.72931539134586,6.0
11,UMA-USD,MKR-USD,0.0029184079451030466,4.0
12,UMA-USD,BCH-USD,0.015662085632607264,6.0
13,UMA-USD,AVAX-USD,0.13612590053863932,5.0
14,UMA-USD,XLM-USD,21.221030947300257,5.0
15,UMA-USD,RUNE-USD,1.1699678124105266,11.0
16,1INCH-USD,BTC-USD,2.344579881926573e-05,17.0
17,1INCH-USD,RUNE-USD,0.2924287706303786,22.0
18,ADA-USD,DOT-USD,0.05709593506996673,12.0
19,ADA-USD,MATIC-USD,0.3233541772775651,11.0
20,ADA-USD,BCH-USD,0.0025476087907048157,15.0
21,ENJ-USD,LINK-USD,0.04355734876112753,12.0
22,SNX-USD,COMP-USD,0.04669324443786142,16.0
23,CELO-USD,DOT-USD,0.1099839467169567,10.0
24,CELO-USD,XLM-USD,6.648608971150703,18.0
25,ATOM-USD,ICP-USD,2.3775673218314495,13.0
26,ATOM-USD,LTC-USD,0.13555977715979903,13.0
27,XTZ-USD,ZRX-USD,4.833284104538508,24.0
28,BTC-USD,EOS-USD,19056.687303845152,9.0
29,LINK-USD,YFI-USD,0.0010794031385198619,7.0
30,LINK-USD,MATIC-USD,7.408977058466112,18.0
31,LINK-USD,BCH-USD,0.05837355113186173,19.0
32,LINK-USD,AVAX-USD,0.5074266181657242,7.0
33,COMP-USD,YFI-USD,0.0059925655688068,15.0
34,COMP-USD,BCH-USD,0.3241150443801567,12.0
35,COMP-USD,AVAX-USD,2.8172262719764545,15.0
36,YFI-USD,ZRX-USD,33593.49818148522,14.0
37,YFI-USD,MKR-USD,10.076176666158268,14.0
38,YFI-USD,AVAX-USD,470.0704376710708,7.0
39,DOGE-USD,BCH-USD,0.0007395605150171469,24.0
40,TRX-USD,EOS-USD,0.06206742485917226,15.0
41,TRX-USD,ETC-USD,0.003413365178925276,14.0
42,TRX-USD,XMR-USD,0.00037498368665593617,14.0
43,NEAR-USD,MATIC-USD,1.6763437847554856,7.0
44,EOS-USD,ETC-USD,0.05498987331133311,12.0
45,EOS-USD,MATIC-USD,1.1115920952142164,17.0
46,EOS-USD,BCH-USD,0.008758767179413714,12.0
47,ZRX-USD,MKR-USD,0.00029986856933134987,17.0
48,ZRX-USD,AVAX-USD,0.013988683718539953,13.0
49,MKR-USD,AVAX-USD,46.64492497512235,10.0
50,ETC-USD,RUNE-USD,11.896792502952934,23.0
51,MATIC-USD,BCH-USD,0.007878719507277344,7.0
52,MATIC-USD,AVAX-USD,0.06847246332458447,20.0
53,BCH-USD,AVAX-USD,8.69002518974331,23.0
